question,answer,q_len,q_bin,gen_naive_k1_all-MiniLM-L6-v2,gen_cot_k1_all-MiniLM-L6-v2,gen_persona_k1_all-MiniLM-L6-v2,gen_naive_k3_all-MiniLM-L6-v2,gen_cot_k3_all-MiniLM-L6-v2,gen_persona_k3_all-MiniLM-L6-v2,gen_naive_k5_all-MiniLM-L6-v2,gen_cot_k5_all-MiniLM-L6-v2,gen_persona_k5_all-MiniLM-L6-v2,gen_naive_k1_all-mpnet-base-v2,gen_cot_k1_all-mpnet-base-v2,gen_persona_k1_all-mpnet-base-v2,gen_naive_k3_all-mpnet-base-v2,gen_cot_k3_all-mpnet-base-v2,gen_persona_k3_all-mpnet-base-v2,gen_naive_k5_all-mpnet-base-v2,gen_cot_k5_all-mpnet-base-v2,gen_persona_k5_all-mpnet-base-v2,contexts
What did James Monroe make in 1817?,two long tours,7,short,Highland Plantation,The relevant sentence in the passage is: James Monroe had racked up many debts during his years of public life. The answer is a large amount of debt.,debts,his family farm,"Monroe's family farm from 1788 to 1817, but he had sold it in the first year of his presidency to the new college. The final answer: a farm.",a farm,two long tours,Two long tours.,two long tours,negotiated a treaty with Britain to replace the Jay Treaty of 1794,The relevant sentence in the passage is: Monroe was then appointed Minister to the Court of St. James (Britain) from 1803 to 1807. The answer is a treaty with Britain to replace the Jay Treaty of 1794.,a treaty with Britain to replace the Jay Treaty of 1794,acquisition of Florida,The following is a list of events that occurred during the presidency of James Monroe. The first president of the United States was James Madison. The second president of the United States was James Madison. The third president of the United States was James Madison. The fourth president of the United States was James Madison.,acquisition of Florida,acquisition of Florida,The following is a list of events that occurred during the presidency of James Monroe. The following events occurred during the presidency of James Monroe:,acquisition of Florida,"{'passage': ""Monroe had racked up many debts during his years of public life. As a result, he was forced to sell off his Highland Plantation (now called Ash Lawn-Highland; it is owned by his alma mater, the College of William and Mary, which has opened it to the public). Throughout his life, he was not financially solvent, and his wife's poor health made matters worse.  For these reasons, he and his wife lived in Oak Hill until Elizabeth's death on September 23, 1830."", 'id': 2521}"
Are Gray Wolves native to North America?,Yes,7,short,"The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago. The gray wolf then coexisted with the Dire Wolf (Canis dirus), a Canid species that was larger and heavier than the gray wolf and appeared in South America over 700,000 years ago and whose origin is still speculated. The Dire Wolf ranged from southern Canada to South America until about 8,000 years ago when climate changes are thought to have caused it to become extinct. After that the gray wolf is thought to have become the prime canine predator in North America. The final answer: yes.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago. The gray wolf then coexisted with the Dire Wolf (Canis dirus), a Canid species that was larger and heavier than the gray wolf and appeared in South America over 700,000 years ago and whose origin is still speculated. The Dire Wolf ranged from southern Canada to South America until about 8,000 years ago when climate changes are thought to have caused it to become extinct. After that the gray wolf is thought to have become the prime canine predator in North America.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago. The gray wolf then coexisted with the Dire Wolf (Canis dirus), a Canid species that was larger and heavier than the gray wolf and appeared in South America over 700,000 years ago and whose origin is still speculated. The Dire Wolf ranged from southern Canada to South America until about 8,000 years ago when climate changes are thought to have caused it to become extinct. After that the gray wolf is thought to have become the prime canine predator in North America.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago. The gray wolf then coexisted with the Dire Wolf (Canis dirus), a Canid species that was larger and heavier than the gray wolf and appeared in South America over 700,000 years ago and whose origin is still speculated. The Dire Wolf ranged from southern Canada to South America until about 8,000 years ago when climate changes are thought to have caused it to become extinct. After that the gray wolf is thought to have become the prime canine predator in North America. The final answer: yes.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago. The gray wolf then coexisted with the Dire Wolf (Canis dirus), a Canid species that was larger and heavier than the gray wolf and appeared in South America over 700,000 years ago and whose origin is still speculated. The gray wolf then coexisted with the Dire Wolf (Canis dirus), a Canid species that was larger and heavier than the gray wolf and appeared in South America over 700,000 years ago and whose origin is still speculated. The gray wolf is thought to have become the prime canine predator in North America.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago. The gray wolf then coexisted with the Dire Wolf (Canis dirus), a Canid species that was larger and heavier than the gray wolf and appeared in South America over 700,000 years ago and whose origin is still speculated. The gray wolf then coexisted with the Dire Wolf (Canis dirus), a Canid species that was larger and heavier than the gray wolf and appeared in South America over 700,000 years ago and whose origin is still speculated. The gray wolf is thought to have become the prime canine predator in North America.","The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.","{'passage': 'Current theories propose that the gray wolf first evolved in Eurasia during the early Pleistocene. The rate of changes observed in DNA sequence date the South-East Asiatic lineage to about 800,000 years, as opposed to the American and European lineages which stretch back only 150,000.    The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.  The gray wolf then coexisted with the Dire Wolf (Canis dirus), a Canid species that was larger and heavier than the gray wolf and appeared in South America over 700,000 years ago and whose origin is still speculated. The Dire Wolf ranged from southern Canada to South America until about 8,000 years ago when climate changes are thought to have caused it to become extinct. After that the gray wolf is thought to have become the prime canine predator in North America.', 'id': 1096}"
Is English the official language?,yes,5,short,Canada's two official languages are English and French,Canada's two official languages are English and French. Final Answer: yes.,Canada's two official languages are English and French.,Canada's two official languages are English and French,Canada's two official languages are English and French. Final Answer: yes.,Canada's two official languages are English and French.,Canada's two official languages are English and French,"Canada's two official languages are English and French. The official languages are English, Mandarin, Malay and Tamil. The answer: yes.",Canada's two official languages are English and French.,Non-official languages are important in Canada,Final Answer: no,Non-official languages are important in Canada.,Canada's two official languages are English and French,"The official languages of Canada are English, Mandarin, Malay and Tamil. The official languages of Singapore are Malay for historical reasons, and it is used in the national anthem, ""Majulah Singapura"". The official languages are English, Mandarin, Malay and Tamil. The answer: yes.",Canada's two official languages are English and French.,"The official languages are English, Mandarin, Malay and Tamil. English has been promoted as the country's language of administration since independence.","The official languages are English, Mandarin, Malay and Tamil. The official languages are English and French. Final Answer: no.","The official languages are English, Mandarin, Malay and Tamil.","{'passage': ""Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories."", 'id': 2358}"
How long is the elephant's gestation period?,22 months,7,short,twenty-two-month,Twenty-two months.,twenty-two-month,22 months,22 months. Final Answer: 22 months.,22 months,22 months,22 months.,22 months,22 months,22 months. Final Answer: 22 months.,22 months,22 months,22 months.,22 months,22 months,22 months.,22 months,"{'passage': 'After a twenty-two-month pregnancy, the mother will give birth to a calf that will weigh about 113 kg (250 lb) and stand over 76 cm (2.5 ft) tall. Elephants have a very long childhood. They are born with fewer survival instincts than many other animals. Instead, they must rely on their elders to teach them the things they need to know. Today, however, the pressures humans have put on the wild elephant populations, from poaching to habitat destruction, mean that the elderly often die at a younger age, leaving fewer teachers for the young.', 'id': 1257}"
Are diving ducks heavier tha dabbling ducks?,Yes,7,short,diving ducks are heavier than dabbling ducks,The diving ducks are heavier than the dabbling ducks. The diving ducks are heavier than the dabbling ducks. Final Answer: yes.,"The diving ducks are heavier than dabbling ducks, and therefore have more difficulty taking off to fly.",diving ducks are heavier than dabbling ducks,"Diving ducks are heavier than dabbling ducks. To be able to submerge more easily, the diving ducks are heavier than dabbling ducks. Final Answer: yes.",Diving ducks are heavier than dabbling ducks.,diving ducks are heavier than dabbling ducks,"Diving ducks are heavier than dabbling ducks. To be able to submerge more easily, the diving ducks are heavier than dabbling ducks. Final Answer: yes.",Diving ducks are heavier than dabbling ducks.,"ducks are safe from all but a few predators such as humans and the Peregrine Falcon, which regularly uses its speed and strength to catch ducks.",The sentence is about ducks. The sentence is about ducks. The sentence is about ducks. The sentence is about ducks. The answer is yes.,"Ducks are safe from all but a few predators such as humans and the Peregrine Falcon, which regularly uses its speed and strength to catch ducks.",diving ducks are heavier than dabbling ducks,"The diving ducks are heavier than the dabbling ducks. To be able to submerge more easily, the diving ducks are heavier than dabbling ducks. Final Answer: yes.",The diving ducks are heavier than dabbling ducks.,diving ducks are heavier than dabbling ducks,"To be able to submerge more easily, the diving ducks are heavier than dabbling ducks, and therefore have more difficulty taking off to fly. The final answer: yes.",Diving ducks are heavier than dabbling ducks.,"{'passage': 'Diving ducks and sea ducks forage deep underwater. To be able to submerge more easily, the diving ducks are heavier than dabbling ducks, and therefore have more difficulty taking off to fly.', 'id': 3168}"
Oxygen is what?,One kind of gas obtained via a tracheal system.,3,short,tracheal system,tracheal system.,tracheal system,tracheal system,tracheal system.,tracheal system,tracheal system,tracheal system.,tracheal system.,tracheal system,tracheal system.,tracheal system,tracheal system,tracheal system.,tracheal system.,tracheal system,tracheal system.,tracheal system.,"{'passage': 'Oxygen is obtained via a tracheal system. Air enters a series of tubes along the body through openings called spiracles, and is then taken into increasingly finer fibres. Pumping movements of the body force the air through the system.', 'id': 2391}"
Where is Uruguay's oldest church?,"San Carlos, Maldonado.",5,short,"San Carlos, Maldonado","San Carlos, Maldonado.","San Carlos, Maldonado","San Carlos, Maldonado","San Carlos, Maldonado.","San Carlos, Maldonado","San Carlos, Maldonado","San Carlos, Maldonado.","San Carlos, Maldonado",Uruguay,The state of Uruguay.,In the state,"San Carlos, Maldonado","San Carlos, Maldonado.","San Carlos, Maldonado","San Carlos, Maldonado","San Carlos, Maldonado.","San Carlos, Maldonado","{'passage': ""Uruguay's oldest church is in San Carlos, Maldonado."", 'id': 51}"
When was the first factory opened?,1836,6,short,1836,1836.,1836,1836,1836.,1836,1836,1836.,1836,1955,1955.,1955,1776,In 1794.,1776,1776,"In 1776, the first engines were installed and working in commercial enterprises.",1776,"{'passage': 'Liechtenstein also had many advances in the nineteenth century, as in 1836, the first factory was opened, making ceramics. In 1861, the Savings and Loans Bank was founded, as was the first cotton-weaving mill. Two bridges over the Rhine were built in 1868, and in 1872 a railway line across Liechtenstein was constructed.', 'id': 2826}"
Did Roosevelt receive a Medal of Honor?,yes,7,short,"President Bill Clinton awarded Theodore Roosevelt the Medal of Honor posthumously for his charge up San Juan Hill, Cuba, during the Spanish-American War.",The final answer: yes.,Yes.,Roosevelt was posthumously awarded the Medal of Honor in 2001 for his actions.,The final answer: yes.,Yes.,Roosevelt was posthumously awarded the Medal of Honor in 2001 for his actions.,The final answer: yes.,Yes.,"President Bill Clinton awarded Theodore Roosevelt the Medal of Honor posthumously for his charge up San Juan Hill, Cuba, during the Spanish-American War.",The final answer: yes.,Yes.,"President Bill Clinton awarded Theodore Roosevelt the Medal of Honor posthumously for his charge up San Juan Hill, Cuba, during the Spanish-American War.",The final answer: yes.,Yes.,Roosevelt was posthumously awarded the Medal of Honor in 2001 for his actions.,The sentence is true because the sentence is true. The answer is yes.,Yes.,"{'passage': ""For his gallantry at San Juan Hill, Roosevelt's commanders recommended him for the Medal of Honor, but his subsequent telegrams to the War Department complaining about the delays in returning American troops from Cuba doomed his chances. In the late 1990s, Roosevelt's supporters again took up the flag on his behalf and overcame opposition from elements within the U.S. Army and the National Archives. On January 16, 2001, President Bill Clinton awarded Theodore Roosevelt the Medal of Honor posthumously for his charge up San Juan Hill, Cuba, during the Spanish-American War. Roosevelt's eldest son, Brigadier General Theodore Roosevelt, Jr., received the Medal of Honor for heroism at the Battle of Normandy in 1944. The Roosevelts thus became one of only two father-son pairs to receive this honor."", 'id': 3012}"
What percentage of Liechtenstein's population is foreign-born?,two-thirds,7,short,one third,One third.,one third,one third,One third.,one third,one third,One third.,one third,one third,One third.,one third,one third,One third.,one third,one third,One third.,one third,"{'passage': ""Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners."", 'id': 2856}"
